FrameNumber,timeOnFrame,lastUpdated,SMI,SCI,STI,FTI,Turnouts,Tags
70000,0,,1,1,2,1,0,
70001,0,,1,1,2,1,0,
70002,0,,1,1,2,1,0,
70003,0,,1,1,2,1,0,
70004,0,,1,1,2,1,0,
70005,0,,1,1,2,1,0,
70006,0,,1,1,2,1,0,
70007,0,,1,1,2,1,0,
70008,0,,1,1,2,1,0,
70009,0,,1,1,2,1,0,
70010,0,,1,1,2,1,0,
70011,0,,1,1,2,1,0,
70012,0,,1,1,2,1,0,
70013,0,,1,1,2,1,0,
70014,0,,1,1,2,1,0,
70015,0,,1,1,2,1,0,
70016,0,,1,1,2,1,0,
70017,0,,1,1,2,1,0,
70018,0,,1,1,2,1,0,
70019,0,,1,1,2,1,0,
70020,0,,1,1,2,1,0,
70021,0,,1,1,2,1,0,
70022,0,,1,1,2,1,0,
70023,0,,1,1,2,1,0,
70024,0,,1,1,2,1,0,
70025,0,,1,1,2,1,0,
70026,0,,1,1,2,1,0,
70027,0,,1,1,2,1,0,
70028,0,,1,1,2,1,0,
70029,0,,1,1,2,1,0,
70030,0,,1,1,2,1,0,
70031,0,,1,1,2,1,0,
70032,0,,1,1,2,1,0,
70033,0,,1,1,2,1,0,
70034,0,,1,1,2,1,0,
70035,0,,1,1,2,1,0,
70036,0,,1,1,2,1,0,
70037,0,,1,1,2,1,0,
70038,0,,1,1,2,1,0,
70039,0,,1,1,2,1,0,
70040,0,,1,1,2,1,0,
70041,0,,1,1,2,1,0,
70042,0,,1,1,2,1,0,
70043,0,,1,1,2,1,0,
70044,0,,1,1,2,1,0,
70045,0,,1,1,2,1,0,
70046,0,,1,1,2,1,0,
70047,0,,1,1,2,1,0,
70048,0,,1,1,2,1,0,
70049,0,,1,1,2,1,0,
70050,0,,1,1,2,1,0,
70051,0,,1,1,2,1,0,
70052,0,,1,1,2,1,0,
70053,0,,1,1,2,1,0,
70054,0,,1,1,2,1,0,
70055,0,,1,1,2,1,0,
70056,0,,1,1,2,1,0,
70057,0,,1,1,2,1,0,
70058,0,,1,1,2,1,0,
70059,0,,1,1,2,1,0,
70060,0,,1,1,2,1,0,
70061,0,,1,1,2,1,0,
70062,0,,1,1,2,1,0,
70063,0,,1,1,2,1,0,
70064,0,,1,1,2,1,0,
70065,0,,1,1,2,1,0,
70066,0,,1,1,2,1,0,
70067,0,,1,1,2,1,0,
70068,0,,1,1,2,1,0,
70069,0,,1,1,2,1,0,
70070,0,,1,1,2,1,0,
70071,0,,1,1,2,1,0,
70072,0,,1,1,2,1,0,
70073,0,,1,1,2,1,0,
70074,0,,1,1,2,1,0,
70075,0,,1,0,2,1,0,
70076,0,,1,1,2,1,0,
70077,0,,1,1,2,1,0,
70078,0,,1,1,2,1,0,
70079,0,,1,1,2,1,0,
70080,0,,1,1,2,1,0,
70081,0,,1,1,2,1,0,
70082,0,,1,1,2,1,0,
70083,0,,1,1,2,1,0,
70084,0,,1,1,2,1,0,
70085,0,,1,1,2,1,0,
70086,0,,1,1,2,1,0,
70087,0,,1,1,2,1,0,
70088,0,,1,1,2,1,0,
70089,0,,1,1,2,1,0,
70090,0,,1,1,2,1,0,
70091,0,,1,1,2,1,0,
70092,0,,1,1,2,1,0,
70093,0,,1,1,2,1,0,
70094,0,,1,1,2,1,0,
70095,0,,1,1,2,1,0,
70096,0,,1,1,2,1,0,
70097,0,,1,1,2,1,0,
70098,0,,1,1,2,1,0,
70099,0,,1,1,2,1,0,
70100,0,,1,1,2,1,0,
70101,0,,1,1,2,1,0,
70102,0,,1,1,2,1,0,
70103,0,,1,1,2,1,0,
